"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U01122AR2009PTC008279","24-06-2009","LYTY AGRO FARMING AND FOOD PROCESSING PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","MURI BUILDING, 1ST FLOOR NIRJULI Arunachal Pradesh INDIA 791109","Indian Non-Government Company"
"U01122AR2012PTC008357","20-03-2012","NORTH EAST HORTIVISION PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","Village Alubari PO Chowkham, Lohit Arunachal Pradesh INDIA 792102","Indian Non-Government Company"
"U01132AR1982PTC001928","17-03-1982","TEZAM TIMBERS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","34,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","TEZAM TIMBERS PVT LTD ITANAGAR AP ITANAGAR Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01132AR1986PTC002622","26-11-1986","SIANG TEA AND INDUSTRIES PVT LTD","ACTIVE","Private","Company Limited by Shares","20,000,000.00","18,059,400.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","SECTOR C OPP HEAD POSTOFFICEARUNACHAL PRADESH SUBANSIRI ITANAGAR Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01132AR1987PTC002732","5-07-1987","MEDO TEA COMPANY PVT LTD","ACTIVE","Private","Company Limited by Shares","750,000.00","510,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","P.O. ROING, DIBANG VALLEY Arunachal Pradesh INDIA 792110","Indian Non-Government Company"
"U01132AR1988PTC003137","7-12-1988","LOHIT TEA PVT LTD","ACTIVE","Private","Company Limited by Shares","2,000,000.00","450,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","MAYUDIA FILLING STATION ROING DIBANG VALLEY Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01132AR1989PTC003318","24-07-1989","DEKI TEA PLANTATIONS PVT LTD","ACTIVE","Private","Company Limited by Shares","10,000,000.00","5,902,020.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","Siang House, Sector C, P.O. Itanagar Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U01132AR1989PTC003334","21-08-1989","TINGKHATRA TEA COMPANY PVT LTD","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","10,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","KANUBARISAPEKHATI TIRAP ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01132AR1989PTC003344","6-09-1989","BISA AGRO PVT LTD","ACTIVE","Private","Company Limited by Shares","2,500,000.00","480,200.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","P O BORDUMSAVILL KHEREM BISA DIST CHANGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01132AR1989PTC003373","30-11-1989","BORDHUMSA TEA COMPANY PVT LTD","ACTIVE","Private","Company Limited by Shares","2,500,000.00","975,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","VILL GOJUPOST BORDHU MSA CHANGLANG ARUNGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA 792056","Indian Non-Government Company"
"U01132AR1991PTC003500","17-01-1991","NAMSHUM TEA COMPANY PVT LTD","ACTIVE","Private","Company Limited by Shares","7,000,000.00","6,800,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","GUNANAGAR, P O CHOWKHAM, DIST-LOHIT, CHOWKHAM Arunachal Pradesh INDIA 792104","Indian Non-Government Company"
