"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U45203AS2005PTC007659","10-02-2005","XUBHRO CONSTRUCTIONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100,000.00","Assam","RoC-Shillong","Construction","NIMALI ROADSANLIPUR JORHAT Assam INDIA 785001","Indian Non-Government Company"
"U45203AS2005PTC007683","10-03-2005","MUNDRA INFRASTRUCTURE DEVELOPMENT COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,078,000.00","Assam","RoC-Shillong","Construction","CARE OF MY CHOICECLUB ROAD SILCHAR ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS2005PTC007703","21-04-2005","ASSAM INFRASTRUCTURE FACILITIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","15,100,000.00","Assam","RoC-Shillong","Construction","D 10 3 RD FLOOR BABU BAZARFANCY BAZAR GUWAHATI ASSAM Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2005PTC007714","26-04-2005","JONALI CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","4,275,000.00","Assam","RoC-Shillong","Construction","C/O MIRZA TENT HOUSEMIRZA PALASBARI ROAD MIRZA ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS2005PTC007725","27-04-2005","KDP CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","3,000,000.00","820,000.00","Assam","RoC-Shillong","Construction","HOUSE NO 991 9TH BYE LANEDR ZAKIR HUSSAIN ROAD PUB SARUMOTORIA GUWAHATI ASSAM Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2005PTC007754","20-05-2005","D.C.D ASSOCIATE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","8,050,000.00","Assam","RoC-Shillong","Construction","FLAT 2C,CLASSIC ENCLAVE OPP. FCI GODOWN GUWAHATI Assam INDIA 781020","Indian Non-Government Company"
"U45203AS2005PTC007769","2-06-2005","PATKAI CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","432,000.00","Assam","RoC-Shillong","Construction","NAYANPURSACHIVALAYA DISPUR GUWAHATI Assam INDIA 781005","Indian Non-Government Company"
"U45203AS2005PTC007875","9-09-2005","SAUDAMINI & CO. CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","100,000.00","Assam","RoC-Shillong","Construction","JAYANAGAR CHARALINEAR BELTOLA HIGH SCHOOL P O BELTOLA GUWAHATI Assam INDIA 781028","Indian Non-Government Company"
"U45203AS2005PTC007948","9-11-2005","SUNIDHI PROJECTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","105,000.00","Assam","RoC-Shillong","Construction","ANUJ BHAWAN SARAF BHATTI GUWAHATI Assam INDIA 781009","Indian Non-Government Company"
"U45203AS2005PTC007969","24-11-2005","GADADHAR CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,500,000.00","1,150,000.00","Assam","RoC-Shillong","Construction","2ND FLOORSOHEL NIWAS CHATRIBARI GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2005PTC007970","24-11-2005","BUILDONE CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,500,000.00","1,000,000.00","Assam","RoC-Shillong","Construction","3RD FLOOROMAN COMPLEX M G ROAD GUWAHATI Assam INDIA","Indian Non-Government Company"
"U45203AS2005PTC007971","24-11-2005","TIPKAI CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,500,000.00","1,500,000.00","Assam","RoC-Shillong","Construction","1ST FLOOR NEAR RLY GATE NO 6ABOVE MANGALAM PLYWOODS A T ROAD GUWAHATI Assam INDIA 781009","Indian Non-Government Company"
"U45203AS2005PTC007972","24-11-2005","PAVEMENT & STRUCTURAL CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,500,000.00","990,000.00","Assam","RoC-Shillong","Construction","1ST FLOOR NEAR RLY GATE NO 6 ABOVE MANGALAM PLYWOODS A T ROAD GUWAHATI Assam INDIA 781009","Indian Non-Government Company"
"U45203AS2006PLC008104","5-04-2006","STAR INDIA DEVELOPMENT COMPANY LIMITED","ACTIVE","Public","Company Limited by Shares","30,000,000.00","500,000.00","Assam","RoC-Shillong","Construction","MAYUR GARDEN, 2ND FLOOR, OPP. RAJIV BHAWAN, G.S.ROAD, GUWAHATI, Assam INDIA 781005","Indian Non-Government Company"
"U45203AS2006PTC008044","24-01-2006","SUVIDHA CONSOLIDATIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Assam","RoC-Shillong","Construction","401, DONA APARTMENTS SILPUKHURI, G NB ROAD GUWAHATI Assam INDIA 781003","Indian Non-Government Company"
"U45203AS2006PTC008192","23-06-2006","WELKIN PROMOTERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","5,100,000.00","Assam","RoC-Shillong","Construction","COLLEGE ROAD,SILCHAR, ASSAM ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS2007PLC008353","11-04-2007","SWADESH CONSTRUCTION & REAL ESTATE LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","1,500,000.00","500,000.00","Assam","RoC-Shillong","Construction","NEAR END COLONY SILCHAR Assam INDIA 788003","Indian Non-Government Company"
"U45203AS2007PTC008295","15-01-2007","SHRI SHYAM ASSOCIATES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","500,000.00","Assam","RoC-Shillong","Construction","TARACHAND JALAN LANE G.N.B. ROAD TINSUKIA Assam INDIA 786125","Indian Non-Government Company"
"U45203AS2007PTC008339","21-03-2007","DISONS(INDIA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","500,000.00","Assam","RoC-Shillong","Construction","RAM KUMAR PLAZA 2ND FLOOR,R. NO-4, A.T ROAD CHATRIBARI JUNCTION GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2007PTC008380","15-05-2007","LOAKHAR PROJECTS & SERVICES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Assam","RoC-Shillong","Construction","Tengapara, Ward No.5 Raja Iragdao Road Kokrajhar Assam INDIA 783370","Indian Non-Government Company"
"U45203AS2007PTC008488","16-10-2007","SPECTRUM INFRA VENTURES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","2,597,500.00","Assam","RoC-Shillong","Construction","ASHA TOWER, 5TH FLOOR S.C. GOSWAMI ROAD, PAN BAZAR GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2008PTC008603","22-02-2008","SAMIR DAMODAR ROPEWAYS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Assam","RoC-Shillong","Construction","M.G. ROAD, NEAR DC OFFICE GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2009PLC009154","29-07-2009","RAJIB GHOSH PROJECTS & INFRASTRUCTURES LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","612,000.00","Assam","RoC-Shillong","Construction","2ND FLOOR, KEJRIWAL BHAWAN PALTAN BAZAR GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2009PTC009152","29-07-2009","PARNIL PROPERTIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","669,000.00","Assam","RoC-Shillong","Construction","PARNIL COMPLEX, ZOO ROAD TINALI GUWAHATI Assam INDIA 781024","Indian Non-Government Company"
"U45203AS2009PTC009215","31-08-2009","SKY VIEW INFRADEV PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","16,410,000.00","Assam","RoC-Shillong","Construction","OPP TIRUPATI BALAJI MANDIR GABHARUPATHAR,SEUJPUR DIBRUGARH Assam INDIA 786001","Indian Non-Government Company"
"U45203AS2009PTC009248","17-09-2009","T.D. TECHNOTRADE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100,000.00","Assam","RoC-Shillong","Construction","BAJAJ COMPLEX N T ROAD LAKHIMPUR Assam INDIA 787001","Indian Non-Government Company"
"U45203AS2009PTC009292","12-10-2009","DINOTECH CONSTRUCTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","316,400.00","Assam","RoC-Shillong","Construction","GANESHGURI FLYOVER (WEST SIDE) NEAR LICI OFFICE, DISPUR, GUWAHATI Assam INDIA 781005","Indian Non-Government Company"
