"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U29268PY2013PTC002794","4-26-2013","ALPHINE STEEL TECH PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","R.S. NO. 104/ 1-5 E.V.R. STREET, SEDERAPET Pondicherry INDIA 605111","Indian Non-Government Company"
"U29268PY2013PTC002817","7-29-2013","MAILAM METALLOGEN PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.15, Peter Nagar Puducherry Pondicherry INDIA 605013","Indian Non-Government Company"
"U29268PY2014PTC002911","9-24-2014","MONITRA ENVIRO PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,9.88131291682493e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","Saraswathi Complex- Third Floor- A R.S. No.36/5, Pathukannu, Villianur Road Pondicherry Pondicherry INDIA 605502","Indian Non-Government Company"
"U29295PY2004PTC001789","6-23-2004","SRI RAGAVENDIRAR MOULDS AND DIES PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.556, VALUDAVOOR ROAD,DHARMAPURI, PONDICHERRY-605009. 605009. Pondicherry INDIA 605009","Indian Non-Government Company"
"U29299PY1985PTC000340","7-31-1985","FINE AUTOMOTIVE AND INDUSTRIAL RADIATORS PVT LTD","ACTIVE","PRIV","CLSH",1.23516411460312e-317,1.23150802882389e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","67 PIPDIC ROAD, 7TH CROSSSEDARAPET PONDICHERRY 605 101 SEDARAPET, PONDICHERRY 605 101 Pondicherry INDIA 605101","Indian Non-Government Company"
"U29299PY1996PTC001271","11-4-1996","KAIVALYA TECHNOLOGIES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",8.39911597930119e-318,8.20277429164388e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","RE-SURVEY NO.79/1,K. KUCHI-PALAYAM MANNADIPET COMMUNE, PONDICHERRY-605 107. PONDICHERRY-605 107. Pondicherry INDIA 605107","Indian Non-Government Company"
"U29299PY2000PTC001533","3-27-2000","TWEEZERMAN INDIA PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.23516411460312e-317,9.63428009390431e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","C/24, INDUSTRIAL ESTATE,THATTANCHAVADI, PONDICHERRY-605009. 605009. Pondicherry INDIA 605009","Indian Non-Government Company"
"U29307PY2012PTC002770","12-27-2012","METSOL ENERGY (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.85, MAIN ROAD R.S.NO.80,SEDARAPET, PONDICHERRY Pondicherry INDIA 605111","Indian Non-Government Company"
"U29308PY1999PTC001499","11-5-1999","ETA GENERAL PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.19563886293582e-315,1.19406615317197e-315,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","R.S.NO.79,80 & 81, KALITHEER-THALKUPPAM VILLAGE MADAGADIPET PONDICHERRY 605 107. PONDICHERRY 605 107. Pondicherry INDIA 605107","Indian Non-Government Company"
"U29309PY1989PTC000693","4-27-1989","PLASTIC FANS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",9.88131291682493e-318,7.4109846876187e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","A-103,INDUSTRIAL ESTATE,METTUPALAYAM PONDICHERRY-9. METTUPALAYAM,PONDICHERRY-9. Pondicherry INDIA 605009","Indian Non-Government Company"
"U29309PY1992PTC000825","7-29-1992","TRIPLEX GLASS WORKS PVT. LTD","ACTIVE","PRIV","CLSH",1.23516411460312e-317,1.23516411460312e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","RS. NO. 54/1, MANAPET VILLAGE CUDDALORE - PONDY ROAD, KANNIAKOIL PONDICHERRY 607 402. Pondicherry INDIA 607402","Indian Non-Government Company"
"U30000PY2009PTC002342","8-17-2009","ATOM GOPHER SOLUTIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.56, LAWSPET MAIN ROAD, BHARATHI NAGAR, LAWSPET PONDICHERRY Pondicherry INDIA 605008","Indian Non-Government Company"
"U30000PY2009PTC002391","12-10-2009","CENTURY SECURITECH PRIVATE LIMITED","ACTIVE","PRIV","CLSH",9.88131291682493e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.27, Shubam, VII CROSS EXTENSION RAINBOW NAGAR, PONDICHERRY Pondicherry INDIA 605011","Indian Non-Government Company"
"U30004PY1998PTC001378","2-13-1998","SHRI GANESH AUTOMATIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",9.88131291682493e-319,5.92878775009496e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","263,LAL BAHADUR SHASTRI STREET, PONDICHERRY-605 001. Pondicherry INDIA 605001","Indian Non-Government Company"
"U30006PY1999PTC001469","5-21-1999","OHM SHAKTHI COMPUTERS PRIVATE LIMITED","DORMANT","PRIV","CLSH",1.48219693752374e-318,1.48219693752374e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","19 VEERABADRASWAMY KOIL STREETLAWSPET PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
