"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U60200CH2007PTC030855","20-06-2007","INTERZONE TRANSPORT CARRIERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","450,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","H NO 2221 SECTOR 15C CHANDIGARH Chandigarh INDIA 160016","Indian Non-Government Company"
"U60200CH2008PTC031211","30-04-2008","CHAUDHARY ROAD CARRIERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","PLOT NO 20 SEC 26, TRANSPORT AREA CHANDIGARH Chandigarh INDIA 160026","Indian Non-Government Company"
"U60200CH2010PTC032269","8-06-2010","G L TRANSPORT PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","4,900,000.00","3,930,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","SCO 145,TOP FLOOR SECTOR 28 CHANDIGARH Chandigarh INDIA 160028","Indian Non-Government Company"
"U60200CH2010PTC032567","18-11-2010","SARTHAK LOGISTICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","10,000,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","S C O 34-37, FIRST FLOOR, SECTOR 9D, CHANDIGARH Chandigarh INDIA 160017","Indian Non-Government Company"
"U60200CH2011PTC033155","5-08-2011","MCI CARRIERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","900,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","1186-B SECTOR 46B CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
"U60200CH2011PTC033243","9-09-2011","PRIME TRANS EXPRESS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","2,000,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","PLOT NO. 33, IST FLOOR, NEW TIMBER MARKET SECTOR 26, CHANDIGARH CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"U60200CH2012PTC033634","14-03-2012","SDTC LOGISTICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","400,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","PLOT NO. 5 SECTOR 26, TRANSPORT AREA CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"U60200CH2012PTC033639","16-03-2012","PAL ROAD CARRIERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","SCF 27 SECTOR 21C CHANDIGARH Chandigarh INDIA 160022","Indian Non-Government Company"
"U60200CH2012PTC033837","31-05-2012","BALAJI INTERSTATE CARRIERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","SCO 34 SECTOR 33-D CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
"U60200CH2012PTC033926","19-07-2012","LINK ROADWAYS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","SCF 289, FIRST FLOOR, GRAIN MARKET SECTOR 26 CHANDIGARH Chandigarh INDIA 160026","Indian Non-Government Company"
"U60200CH2013PTC034303","10-01-2013","KESO TRANS (INDIA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Chandigarh","RoC-Chandigarh","Transport, storage and Communications","SCF 90 SECTOR 24 C CHANDIGARH Chandigarh INDIA 160023","Indian Non-Government Company"
