"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U00171CT2005PTC018208","22-12-2005","APSARA TRADECOM PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"H.NO. 47/1995, NEAR RING,ROAD NO, 1, PAHADI TALAB, KUSHALPUR RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00200CT1992PTC007274","12-08-1992","DREM LAND PLANTATION PVT LTD","DORMANT","Private","Company Limited by Shares","200,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"MOTI TALAB NERA KALI MANDIR JAGDALPUR Chhattisgarh INDIA 494001","Indian Non-Government Company"
"U00200CT2004PTC016728","29-06-2004","OM SAI SHAKTHI BIO PLANTEC PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","200,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"RAJENDRA NAGARCHOWK LINK ROAD BILASPUR Chhattisgarh INDIA 495001","Indian Non-Government Company"
"U00202CT2005PTC017814","21-07-2005","KRISHNA WOOD PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","894,790.00","Chhattisgarh","RoC-Chhattisgarh",NA,"INDIRA TIMBER MARKET BILASPURROAD P.O. BAANI TEHSIL & RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00210CT1970PTC001075","21-08-1970","THE BILASPUR PAPER AND BOARD MILLS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","5,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"63/2, LOKMANYA TILAK MARG, BILASPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00210CT2005PTC017652","26-05-2005","SWASTIK PULP AND PAPERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","4,140,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"PLOT NO. B-23, SECTOR-III DEVENDRA NAGAR RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00210CT2005PTC018204","21-12-2005","LOHIA PAPER AND BOARD PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","42,500,000.00","33,300,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"4TH FLOOR CROWN BUILDING ASHOKA PARK KHAMARDIH ROAD, SHANKAR NAGAR RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00222CT1983PTC002153","22-03-1983","SHIVGARH PRESS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","27,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"C/O VASUDAVE CHANDRAKARSTATION ROAD DURG Chhattisgarh INDIA","Indian Non-Government Company"
"U00222CT1989PTC005573","3-11-1989","SHRI RADHIKA PRAKASHAN RAIPUR PVT LTD","ACTIVE","Private","Company Limited by Shares","2,000,000.00","1,502,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"248 SAMTA COLONY NEAR GAYATRI MANDIR RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00222CT2005PTC017417","9-03-2005","SURAJ DIGITAL OFFSET PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","5,000,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"CHITRAKUT ROAD JAGDALPUR Chhattisgarh INDIA 494001","Indian Non-Government Company"
"U00222CT2006PTC018554","17-04-2006","PRABODH AND COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","16,760,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"16/1GEETA NAGAR OPP-ANUPAM GARDEN RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00231CT1992PTC006903","24-01-1992","MITAL COKE PVT.LTD.","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200","Chhattisgarh","RoC-Chhattisgarh",NA,"43,MOTILAL NEHRU NAGAR, SAFLINES, BHILAI Chhattisgarh INDIA","Indian Non-Government Company"
