"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U29244GA2008PTC005804","17-06-2008","OMSO ORIENT PRINTING MACHINES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000,000.00","60,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SURVEY NO.33/1A VILLAGE DHARGAL PERNEM Goa INDIA 403512","Indian Non-Government Company"
"U29246GA1982PTC000490","24-07-1982","GOA INDUSTRIAL TRADING CONTRACTING CO PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","39,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","H NO 15VIEGAS WADDO ARPORA BARDEZ GOA Goa INDIA","Indian Non-Government Company"
"U29248GA1992PLC001214","10-03-1992","SAFEWAYS DEVELOPMENT FINANCE COMPANY LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00","10,600.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","2ND FLOOR D MELLO APARTMENTPAJIFOND MARGAO GOA Goa INDIA 403601","Indian Non-Government Company"
"U29248GA1996PTC002132","4-07-1996","FABMET ENGINEERING PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","HOUSE NO 940SAVITHIRI NIWAS NAURA POST WADABHAT GOA Goa INDIA 403104","Indian Non-Government Company"
"U29248GA2000PTC002838","24-03-2000","RELEVANT INFRATECH INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","810,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","115 KAMAT TOWERSPATTO PLAZA PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29248GA2003PTC003257","18-07-2003","SAMRUDH INFRA PROJECTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SHOP NO. 6 GOMES BUILDINGOPP HOTEL DELMON PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U29248GA2005PTC004109","8-08-2005","MURASIT BAUCHEMIE (GOA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","D 3/6 PLOT NO SA 58CUNCOLIM INDUSTTRIAL ESTAE CUNCOLIM GOA Goa INDIA 403703","Indian Non-Government Company"
"U29248GA2009PTC006159","11-08-2009","OJAS MACHINE TOOLS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","115, Kamat Towers, Pato Plaza, panjim Goa INDIA 403001","Indian Non-Government Company"
"U29248GA2009PTC006186","5-10-2009","CREATIVE MANUFACTURING SOLUTIONS (INDIA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","40,000,000.00","40,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO. 23 TUEM INDUSTRIAL ESTATE, TUEM PERNEM Goa INDIA 403512","Indian Non-Government Company"
"U29248GA2012PTC006898","14-03-2012","QUALITAT INFRA PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","50,000,000.00","1,000,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","21/445, STREET 1, LANE 3, NAGALLY HILLS, DONA PAULA, PANAJI Goa INDIA 403004","Indian Non-Government Company"
